Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
28.223		98.4		105.0		3.68		0.02		0.01		0.02		1.174		-113.1		
28.320		94.1		106.3		3.68		0.02		0.02		0.02		1.166		-116.6		
28.418		88.9		115.1		3.68		0.02		0.01		0.02		1.119		-117.4		
28.516		84.1		118.6		3.68		0.02		0.01		0.02		1.113		-118.7		
28.613		82.8		120.4		3.69		0.02		0.02		0.02		1.081		-124.4		
28.711		75.9		124.7		3.68		0.02		0.02		0.02		1.062		-130.9		
28.809		74.6		125.2		3.68		0.02		0.01		0.02		1.056		-133.0		
28.906		69.8		130.4		3.68		0.02		0.01		0.02		1.030		-134.3		
29.004		67.2		132.2		3.68		0.02		0.01		0.02		1.001		-140.0		
29.102		61.6		136.1		3.68		0.02		0.01		0.02		0.981		-140.8		
29.199		51.6		144.4		3.68		0.02		0.01		0.02		0.954		-146.9		
29.297		47.7		146.6		3.68		0.02		0.01		0.02		0.920		-152.1		
29.395		40.3		151.9		3.68		0.02		0.01		0.02		0.888		-154.3		
29.492		35.1		154.9		3.68		0.02		0.01		0.02		0.838		-158.2		
29.590		27.8		158.9		3.68		0.03		0.01		0.02		0.778		-160.8		
29.688		18.2		161.5		3.68		0.03		0.01		0.02		0.721		-164.2		
29.785		11.7		164.6		3.68		0.02		0.01		0.02		0.675		-169.0		
29.883		79.3		243.8		3.68		3.68		0.01		0.01		0.687		73.7		
29.980		-10.0		163.7		3.68		3.69		0.01		0.02		0.781		-15.2		
30.078		-19.5		174.6		3.68		3.69		0.01		0.02		0.867		-24.3		
30.176		-28.2		176.8		3.68		3.69		0.01		0.01		0.935		-32.9		
30.273		-35.1		181.2		3.68		3.69		0.01		0.02		1.003		-41.6		
30.371		-40.8		184.7		3.69		3.69		0.01		0.02		1.051		-48.5		
30.469		-46.8		187.3		3.69		3.69		0.02		0.02		1.104		-51.6		
30.566		-55.5		189.1		3.68		3.69		0.01		0.02		1.138		-59.8		
30.664		-59.8		187.3		3.69		3.69		0.01		0.02		1.159		-65.4		
30.762		-66.8		190.8		3.69		3.69		0.01		0.02		1.189		-69.8		
30.859		-71.5		191.2		3.68		3.68		0.01		0.01		1.229		-74.5		
30.957		-76.7		194.7		3.69		3.69		0.02		0.02		1.240		-82.8		
31.055		-80.7		195.6		3.69		3.69		0.01		0.02		1.237		-87.5		
31.152		-85.0		198.7		3.68		3.69		0.01		0.02		1.256		-92.3		
31.250		-91.1		201.3		3.68		3.68		0.02		0.02		1.267		-95.3		
31.348		-95.0		197.8		3.68		3.68		0.01		0.01		1.282		-102.3		
31.445		-100.6		202.2		3.69		3.69		0.02		0.02		1.269		-107.5		
31.543		-103.2		201.3		3.69		3.68		0.01		0.02		1.280		-110.1		
31.641		-110.1		202.2		3.68		3.68		0.01		0.02		1.261		-113.5		
31.738		-110.1		201.3		3.69		3.68		0.02		0.01		1.252		-120.9		
31.836		-116.2		200.0		3.69		3.69		0.01		0.02		1.225		-123.1		
31.934		-119.2		200.9		3.68		3.69		0.01		0.01		1.201		-126.5		
32.031		-124.0		203.5		3.68		3.68		0.01		0.02		1.170		-128.3		
32.129		-125.7		200.4		3.68		3.69		0.01		0.01		1.140		-131.3		
32.227		-130.1		200.4		3.68		3.69		0.01		0.02		1.117		-138.2		
32.324		-135.3		197.8		3.68		3.69		0.01		0.02		1.077		-139.1		
32.422		-138.8		196.9		3.68		3.68		0.02		0.01		1.058		-143.4		
32.520		-140.5		193.9		3.68		3.69		0.01		0.02		1.028		-146.9		
32.617		-145.7		192.1		3.69		3.69		0.01		0.01		0.992		-151.2		
32.715		-151.3		188.2		3.68		3.69		0.01		0.01		0.952		-154.3		
